error report
==================================================

Total Top-1 Errors: 90857

1. Top-5 totally wrong class:
      misclassified as: Lactarius turpis: 2times
      misclassified as: Coprinus comatus: 2times
      misclassified as: Psilocybe caerulescens: 2times
      misclassified as: Imleria badia: 1times
      misclassified as: Tylopilus rubrobrunneus: 1times
      misclassified as: Tylopilus felleus: 1times
      misclassified as: Boletus rex-veris: 1times
      misclassified as: Boletus edulis: 1times
      misclassified as: Bolbitius titubans: 1times
      misclassified as: Phaeolus schweinitzii: 1times
      misclassified as: Amanita muscaria: 1times
      misclassified as: Hypholoma lateritium: 1times
      misclassified as: Hygrophoropsis aurantiaca: 1times
      misclassified as: Coprinopsis lagopus: 1times
      misclassified as: Suillus grevillei: 1times
      misclassified as: Tricholomopsis rutilans: 1times
      misclassified as: Panellus stipticus: 1times
      misclassified as: Cladonia rangiferina: 1times
      misclassified as: Cladonia fimbriata: 1times

   Agaricus xanthodermus:
      misclassified as: Volvopluteus gloiocephalus: 22times
      misclassified as: Leucoagaricus leucothites: 19times
      misclassified as: Amanita phalloides: 17times
      misclassified as: Boletus pallidus: 15times
      misclassified as: Laccaria ochropurpurea: 15times
      misclassified as: Amanita brunnescens: 14times
      misclassified as: Clitocybe nuda: 12times
      misclassified as: Entoloma abortivum: 12times
      misclassified as: Chlorophyllum molybdites: 10times
      misclassified as: Chlorophyllum brunneum: 9times
      misclassified as: Amanita velosa: 8times
      misclassified as: Lepista nuda: 7times
      misclassified as: Coprinopsis atramentaria: 6times
      misclassified as: Suillus luteus: 6times
      misclassified as: Amanita citrina: 5times
      misclassified as: Clitocybe nebularis: 3times
      misclassified as: Leucoagaricus americanus: 3times
      misclassified as: Lycoperdon perlatum: 3times
      misclassified as: Agaricus augustus: 2times
      misclassified as: Amanita rubescens: 2times
      misclassified as: Cryptoporus volvatus: 2times
      misclassified as: Daedaleopsis confragosa: 2times
      misclassified as: Tylopilus rubrobrunneus: 2times
      misclassified as: Psathyrella candolleana: 2times
      misclassified as: Bolbitius titubans: 2times
      misclassified as: Leccinum scabrum: 2times
      misclassified as: Amanita calyptroderma: 1times
      misclassified as: Coprinopsis lagopus: 1times
      misclassified as: Coprinus comatus: 1times
      misclassified as: Phallus impudicus: 1times
      misclassified as: Pseudohydnum gelatinosum: 1times
      misclassified as: Macrolepiota procera: 1times
      misclassified as: Lycoperdon pyriforme: 1times
      misclassified as: Tricholoma murrillianum: 1times
      misclassified as: Cerioporus squamosus: 1times
      misclassified as: Coltricia perennis: 1times
      misclassified as: Pleurotus ostreatus: 1times
      misclassified as: Pleurotus pulmonarius: 1times
      misclassified as: Hypholoma lateritium: 1times
      misclassified as: Fomitopsis betulina: 1times
      misclassified as: Apioperdon pyriforme: 1times
      misclassified as: Psilocybe caerulescens: 1times
      misclassified as: Stropharia ambigua: 1times
      misclassified as: Psilocybe cubensis: 1times

   Amanita amerirubescens:
      misclassified as: Amanita rubescens: 47times
      misclassified as: Amanita pantherina: 42times
      misclassified as: Agaricus augustus: 27times
      misclassified as: Amanita augusta: 25times
      misclassified as: Amanita brunnescens: 23times
      misclassified as: Leucoagaricus americanus: 21times
      misclassified as: Chlorophyllum brunneum: 19times
      misclassified as: Chlorophyllum molybdites: 18times
      misclassified as: Macrolepiota procera: 18times
      misclassified as: Pholiota squarrosa: 17times
      misclassified as: Leucoagaricus leucothites: 15times
      misclassified as: Sarcomyxa serotina: 15times
      misclassified as: Amanita persicina: 12times
      misclassified as: Pholiota aurivella: 12times
      misclassified as: Amanita citrina: 12times
      misclassified as: Agaricus xanthodermus: 11times
      misclassified as: Amanita calyptroderma: 11times
      misclassified as: Tapinella atrotomentosa: 11times
      misclassified as: Coprinus comatus: 10times
      misclassified as: Amanita velosa: 9times
      misclassified as: Fomitopsis mounceae: 9times
      misclassified as: Leccinum scabrum: 8times
      misclassified as: Armillaria tabescens: 8times
      misclassified as: Armillaria borealis: 8times
      misclassified as: Phallus impudicus: 7times
      misclassified as: Amanita muscaria: 7times
      misclassified as: Hypholoma lateritium: 7times
      misclassified as: Bolbitius titubans: 6times
      misclassified as: Laccaria ochropurpurea: 6times
      misclassified as: Tricholoma murrillianum: 6times
      misclassified as: Armillaria mellea: 6times
      misclassified as: Tricholomopsis rutilans: 5times
      misclassified as: Boletus rex-veris: 5times
      misclassified as: Lactarius torminosus: 5times
      misclassified as: Amanita phalloides: 4times
      misclassified as: Pleurotus ostreatus: 4times
      misclassified as: Leratiomyces ceres: 3times
      misclassified as: Boletus edulis: 3times
      misclassified as: Suillus spraguei: 3times
      misclassified as: Hypholoma fasciculare: 3times
      misclassified as: Ischnoderma resinosum: 3times
      misclassified as: Lepista nuda: 2times
      misclassified as: Clitocybe nuda: 2times
      misclassified as: Boletus reticulatus: 2times
      misclassified as: Boletus pallidus: 2times
      misclassified as: Tylopilus felleus: 2times
      misclassified as: Amanita flavoconia: 2times
      misclassified as: Gymnopilus luteofolius: 2times
      misclassified as: Volvopluteus gloiocephalus: 2times
      misclassified as: Retiboletus ornatipes: 2times
      misclassified as: Psilocybe cubensis: 2times
      misclassified as: Grifola frondosa: 2times
      misclassified as: Laetiporus sulphureus: 2times
      misclassified as: Flammulina velutipes: 2times
      misclassified as: Coprinopsis atramentaria: 2times
      misclassified as: Pseudevernia furfuracea: 2times
      misclassified as: Entoloma abortivum: 2times
      misclassified as: Pleurotus pulmonarius: 2times
      misclassified as: Hygrophoropsis aurantiaca: 1times
      misclassified as: Suillus americanus: 1times
      misclassified as: Psilocybe azurescens: 1times
      misclassified as: Lycoperdon pyriforme: 1times
      misclassified as: Tylopilus rubrobrunneus: 1times
      misclassified as: Coprinellus micaceus: 1times
      misclassified as: Coprinopsis lagopus: 1times
      misclassified as: Stropharia aeruginosa: 1times
      misclassified as: Panellus stipticus: 1times
      misclassified as: Artomyces pyxidatus: 1times
      misclassified as: Coprinellus disseminatus: 1times
      misclassified as: Trichaptum biforme: 1times
      misclassified as: Leccinum aurantiacum: 1times
      misclassified as: Leccinum albostipitatum: 1times
      misclassified as: Leccinum versipelle: 1times
      misclassified as: Cerioporus squamosus: 1times
      misclassified as: Omphalotus illudens: 1times
      misclassified as: Lactarius turpis: 1times
      misclassified as: Rhytisma acerinum: 1times
      misclassified as: Fomitopsis betulina: 1times

   Amanita augusta:
      misclassified as: Amanita velosa: 39times
      misclassified as: Amanita citrina: 26times
      misclassified as: Amanita phalloides: 25times
      misclassified as: Amanita calyptroderma: 21times
      misclassified as: Lycoperdon perlatum: 20times
      misclassified as: Volvopluteus gloiocephalus: 19times
      misclassified as: Amanita brunnescens: 18times
      misclassified as: Amanita amerirubescens: 17times
      misclassified as: Entoloma abortivum: 17times
      misclassified as: Amanita rubescens: 14times
      misclassified as: Amanita flavoconia: 14times
      misclassified as: Lycoperdon pyriforme: 14times
      misclassified as: Agaricus augustus: 11times
      misclassified as: Amanita persicina: 10times
      misclassified as: Amanita pantherina: 10times
      misclassified as: Agaricus xanthodermus: 10times
      misclassified as: Bolbitius titubans: 9times
      misclassified as: Leucoagaricus americanus: 8times
      misclassified as: Chlorophyllum brunneum: 6times
      misclassified as: Phallus impudicus: 6times
      misclassified as: Leucoagaricus leucothites: 6times
      misclassified as: Stropharia ambigua: 6times
      misclassified as: Gliophorus psittacinus: 5times
      misclassified as: Suillus americanus: 5times
      misclassified as: Boletus edulis: 5times
      misclassified as: Tricholoma murrillianum: 5times
      misclassified as: Suillus granulatus: 4times
      misclassified as: Suillus grevillei: 4times
      misclassified as: Suillus luteus: 4times
      misclassified as: Chlorophyllum molybdites: 3times
      misclassified as: Hygrophoropsis aurantiaca: 3times
      misclassified as: Suillus spraguei: 3times
      misclassified as: Boletus pallidus: 3times
      misclassified as: Psathyrella candolleana: 3times
      misclassified as: Cantharellus cibarius: 3times
      misclassified as: Armillaria mellea: 3times
      misclassified as: Macrolepiota procera: 2times
      misclassified as: Retiboletus ornatipes: 2times
      misclassified as: Boletus reticulatus: 2times
      misclassified as: Boletus rex-veris: 2times
      misclassified as: Psilocybe cubensis: 2times
      misclassified as: Trametes betulina: 2times
      misclassified as: Trametes gibbosa: 2times
      misclassified as: Amanita muscaria: 1times
      misclassified as: Armillaria tabescens: 1times
      misclassified as: Stropharia aeruginosa: 1times
      misclassified as: Gymnopilus luteofolius: 1times
      misclassified as: Leccinum scabrum: 1times
      misclassified as: Leccinum versipelle: 1times
      misclassified as: Coprinus comatus: 1times
      misclassified as: Cerioporus squamosus: 1times
      misclassified as: Coprinellus micaceus: 1times
      misclassified as: Pseudohydnum gelatinosum: 1times
      misclassified as: Fomitopsis betulina: 1times
      misclassified as: Lepista nuda: 1times

   Amanita brunnescens:
      misclassified as: Leucoagaricus leucothites: 24times
      misclassified as: Amanita phalloides: 23times
      misclassified as: Agaricus xanthodermus: 20times
      misclassified as: Chlorophyllum molybdites: 19times
      misclassified as: Chlorophyllum brunneum: 15times
      misclassified as: Amanita velosa: 15times
      misclassified as: Amanita citrina: 15times
      misclassified as: Volvopluteus gloiocephalus: 12times
      misclassified as: Tylopilus rubrobrunneus: 11times
      misclassified as: Tylopilus felleus: 10times
      misclassified as: Amanita amerirubescens: 10times
      misclassified as: Boletus pallidus: 10times
      misclassified as: Leucoagaricus americanus: 9times
      misclassified as: Amanita rubescens: 8times
      misclassified as: Tricholoma murrillianum: 7times
      misclassified as: Amanita pantherina: 7times
      misclassified as: Amanita flavoconia: 4times
      misclassified as: Amanita persicina: 4times
      misclassified as: Tricholomopsis rutilans: 4times
      misclassified as: Phallus impudicus: 3times
