epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
12,380,0.594089,,,,,,9.97e-04,0.0050,0.0
12,-1,0.603898,0.827613,0.968046,0.809967,0.791998,0.925776,,,,
13,20,0.571776,,,,,,9.97e-04,0.0050,0.0
13,40,0.611320,,,,,,9.97e-04,0.0050,0.0
13,60,0.579691,,,,,,9.97e-04,0.0050,0.0
13,80,0.614176,,,,,,9.97e-04,0.0050,0.0
13,100,0.548202,,,,,,9.97e-04,0.0050,0.0
13,120,0.585037,,,,,,9.97e-04,0.0050,0.0
13,140,0.595846,,,,,,9.96e-04,0.0050,0.0
13,160,0.642419,,,,,,9.96e-04,0.0050,0.0
13,180,0.599546,,,,,,9.96e-04,0.0050,0.0
13,200,0.548142,,,,,,9.96e-04,0.0050,0.0
13,220,0.595286,,,,,,9.96e-04,0.0050,0.0
13,240,0.582830,,,,,,9.96e-04,0.0050,0.0
13,260,0.572614,,,,,,9.96e-04,0.0050,0.0
13,280,0.566262,,,,,,9.96e-04,0.0050,0.0
13,300,0.592784,,,,,,9.96e-04,0.0050,0.0
13,320,0.578954,,,,,,9.96e-04,0.0050,0.0
13,340,0.609202,,,,,,9.96e-04,0.0050,0.0
13,360,0.627443,,,,,,9.96e-04,0.0050,0.0
13,380,0.566244,,,,,,9.96e-04,0.0050,0.0
13,-1,0.585378,0.827357,0.967725,0.806897,0.789569,0.925254,,,,
14,20,0.546133,,,,,,9.96e-04,0.0050,0.0
14,40,0.580912,,,,,,9.96e-04,0.0050,0.0
14,60,0.641228,,,,,,9.96e-04,0.0050,0.0
14,80,0.585020,,,,,,9.96e-04,0.0050,0.0
14,100,0.589406,,,,,,9.96e-04,0.0050,0.0
14,120,0.553927,,,,,,9.96e-04,0.0050,0.0
14,140,0.523218,,,,,,9.95e-04,0.0050,0.0
14,160,0.595867,,,,,,9.95e-04,0.0050,0.0
14,180,0.585272,,,,,,9.95e-04,0.0050,0.0
14,200,0.555074,,,,,,9.95e-04,0.0050,0.0
14,220,0.577791,,,,,,9.95e-04,0.0050,0.0
14,240,0.544241,,,,,,9.95e-04,0.0050,0.0
14,260,0.506900,,,,,,9.95e-04,0.0050,0.0
14,280,0.601677,,,,,,9.95e-04,0.0050,0.0
14,300,0.551710,,,,,,9.95e-04,0.0050,0.0
14,320,0.584562,,,,,,9.95e-04,0.0050,0.0
14,340,0.537425,,,,,,9.95e-04,0.0050,0.0
14,360,0.584491,,,,,,9.95e-04,0.0050,0.0
14,380,0.639098,,,,,,9.95e-04,0.0050,0.0
14,-1,0.572688,0.831647,0.968494,0.809016,0.795437,0.912188,,,,
15,20,0.541617,,,,,,9.95e-04,0.0050,0.0
15,40,0.570656,,,,,,9.95e-04,0.0050,0.0
15,60,0.582993,,,,,,9.95e-04,0.0050,0.0
15,80,0.554697,,,,,,9.95e-04,0.0050,0.0
15,100,0.589917,,,,,,9.94e-04,0.0050,0.0
15,120,0.518332,,,,,,9.94e-04,0.0050,0.0
15,140,0.650271,,,,,,9.94e-04,0.0050,0.0
15,160,0.572758,,,,,,9.94e-04,0.0050,0.0
15,180,0.546525,,,,,,9.94e-04,0.0050,0.0
15,200,0.535775,,,,,,9.94e-04,0.0050,0.0
15,220,0.526987,,,,,,9.94e-04,0.0050,0.0
15,240,0.565882,,,,,,9.94e-04,0.0050,0.0
15,260,0.603748,,,,,,9.94e-04,0.0050,0.0
15,280,0.547681,,,,,,9.94e-04,0.0050,0.0
15,300,0.537417,,,,,,9.94e-04,0.0050,0.0
15,320,0.568782,,,,,,9.94e-04,0.0050,0.0
15,340,0.592499,,,,,,9.94e-04,0.0050,0.0
15,360,0.565325,,,,,,9.94e-04,0.0050,0.0
15,380,0.564968,,,,,,9.94e-04,0.0050,0.0
15,-1,0.561141,0.822041,0.968046,0.815151,0.797597,0.924846,,,,
16,20,0.530604,,,,,,9.93e-04,0.0050,0.0
16,40,0.530485,,,,,,9.93e-04,0.0050,0.0
16,60,0.575666,,,,,,9.93e-04,0.0050,0.0
16,80,0.564459,,,,,,9.93e-04,0.0050,0.0
16,100,0.540660,,,,,,9.93e-04,0.0050,0.0
16,120,0.553916,,,,,,9.93e-04,0.0050,0.0
16,140,0.575396,,,,,,9.93e-04,0.0050,0.0
16,160,0.559072,,,,,,9.93e-04,0.0050,0.0
16,180,0.532151,,,,,,9.93e-04,0.0050,0.0
16,200,0.494225,,,,,,9.93e-04,0.0050,0.0
16,220,0.537585,,,,,,9.93e-04,0.0050,0.0
16,240,0.549544,,,,,,9.93e-04,0.0050,0.0
16,260,0.568451,,,,,,9.93e-04,0.0050,0.0
16,280,0.505734,,,,,,9.93e-04,0.0050,0.0
16,300,0.507525,,,,,,9.92e-04,0.0050,0.0
16,320,0.561541,,,,,,9.92e-04,0.0050,0.0
16,340,0.530873,,,,,,9.92e-04,0.0050,0.0
16,360,0.546808,,,,,,9.92e-04,0.0050,0.0
16,380,0.566410,,,,,,9.92e-04,0.0050,0.0
16,-1,0.548363,0.834080,0.968174,0.807403,0.795631,0.899328,,,,
17,20,0.553736,,,,,,9.92e-04,0.0050,0.0
17,40,0.572548,,,,,,9.92e-04,0.0050,0.0
17,60,0.553678,,,,,,9.92e-04,0.0050,0.0
17,80,0.517977,,,,,,9.92e-04,0.0050,0.0
17,100,0.526468,,,,,,9.92e-04,0.0050,0.0
17,120,0.573885,,,,,,9.92e-04,0.0050,0.0
17,140,0.570786,,,,,,9.92e-04,0.0050,0.0
17,160,0.543592,,,,,,9.92e-04,0.0050,0.0
17,180,0.515850,,,,,,9.91e-04,0.0050,0.0
17,200,0.513153,,,,,,9.91e-04,0.0050,0.0
17,220,0.529253,,,,,,9.91e-04,0.0050,0.0
17,240,0.538208,,,,,,9.91e-04,0.0050,0.0
17,260,0.521256,,,,,,9.91e-04,0.0050,0.0
17,280,0.562966,,,,,,9.91e-04,0.0050,0.0
17,300,0.526646,,,,,,9.91e-04,0.0050,0.0
17,320,0.553920,,,,,,9.91e-04,0.0050,0.0
17,340,0.580841,,,,,,9.91e-04,0.0050,0.0
17,360,0.520085,,,,,,9.91e-04,0.0050,0.0
17,380,0.527116,,,,,,9.91e-04,0.0050,0.0
17,-1,0.536954,0.835553,0.966445,0.812141,0.798987,0.899386,,,,
18,20,0.485591,,,,,,9.91e-04,0.0050,0.0
18,40,0.534852,,,,,,9.91e-04,0.0050,0.0
18,60,0.518043,,,,,,9.90e-04,0.0050,0.0
18,80,0.512321,,,,,,9.90e-04,0.0050,0.0
18,100,0.520984,,,,,,9.90e-04,0.0050,0.0
18,120,0.581350,,,,,,9.90e-04,0.0050,0.0
18,140,0.546975,,,,,,9.90e-04,0.0050,0.0
18,160,0.537475,,,,,,9.90e-04,0.0050,0.0
18,180,0.533455,,,,,,9.90e-04,0.0050,0.0
